URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,1.0,2.0,3.0,4.0,5.0,6.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,1.0,2.0,3.0,4.0,5.0,6.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,1.0,2.0,3.0,4.0,5.0,6.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,1.0,2.0,3.0,4.0,5.0,6.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,1.0,2.0,3.0,4.0,5.0,6.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,1.0,2.0,3.0,4.0,5.0,6.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,1.0,2.0,3.0,4.0,5.0,6.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,1.0,2.0,3.0,4.0,5.0,6.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,1.0,2.0,3.0,4.0,5.0,6.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,1.0,2.0,3.0,4.0,5.0,6.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,1.0,2.0,3.0,4.0,5.0,6.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0
